problem_no,sub_id,stem,correct,explanation
101-1,1,株式とは金融商品取引法で定める有価証券である。,FALSE,金融商品取引法では「株券」が有価証券として定義されています。
101-1,2,有価証券に化体された不動産とは、有価証券のキャッシュフローに依存して決まる財産的価値に対する請求権を不動産の形に変えた、という意味である。,FALSE,説明が逆です。不動産の持つ価値やキャッシュフローを源泉として、有価証券の形に変えることを指します。
101-1,3,特別法人は単にvehicleと呼ばれることがある。,TRUE,はい、不動産証券化の器（うつわ）として機能するため、乗り物や媒体を意味する「ビークル（vehicle）」と呼ばれます。
101-1,4,不動産証券化とは、特別法人が不動産証券化商品を発行しそれを投資家に販売すること、ということもできる。,TRUE,その通りです。不動産から生じる収益を裏付けとした証券を発行し、投資家に販売する仕組みが不動産証券化の基本です。
101-1,5,証券投資信託も不動産ファンドと同じようにファンドを利用した集団投資商品の一種である。,TRUE,はい、どちらも多くの投資家から資金を集めて専門家が運用する「ファンド」という形態をとる集団投資商品です。
101-2,1,企業の価値向上のための原則においては、株主が企業の外に持っている投資機会が企業の内部で行う投資の基準になる。,TRUE,株主が期待するリターン（ハードル・レート）を上回る投資を企業が行うことで、企業価値が向上すると考えられます。
101-2,2,企業の資金調達には、企業が金融資産を売り出すという側面がある。,TRUE,株式や社債の発行は、投資家から見れば金融資産の購入であり、企業にとっては資金調達の手段です。
101-2,3,ダイベストメント(divestment)は投資(investment)と同じく拡大型企業戦略である。,FALSE,ダイベストメントは、事業や資産を売却する「縮小型」の企業戦略です。
101-2,4,他の資産に比べて、オンバランス賃貸不動産の資産の効率性（回転率）は高いが、そのマージン（税引き後営業利益率）は非常に低い、という傾向がある。,FALSE,一般的に、不動産は資産回転率が低い一方、利益率は高い傾向にあります。
101-2,5,現在日本では、不動産証券化は企業の資金調達のためだけを目的として行われる。,FALSE,資金調達だけでなく、資産のオフバランス化による財務体質の改善や、企業価値向上（CRE戦略）のためにも活用されます。
103-4,1,ストック社会への変化の中で、不動産をより良好な状態で維持し、キャッシュフローや不動産価値を安定的に維持したいという要請が強まっている。,TRUE,はい、社会が成熟し既存の建物を有効活用するストック型社会に移行する中で、不動産の維持管理の重要性が増しています。
103-4,2,他の金融資産への投資と比較すると、一般的に不動産投資は、社債や株式への投資よりも相対的にリスクが高いと認識されている。,FALSE,不動産投資のリスクは、一般的に「ミドルリスク・ミドルリターン」とされ、社債（ローリスク）よりは高く、株式（ハイリスク）よりは低いと位置づけられます。
103-4,3,リスク要因は、不動産投資の成否に係ることから、どのようなリスクがあるかの洗い出しが最も重要である。,TRUE,はい、投資判断を行う上で、物理的リスク、経済的リスク、法的リスクなど、潜在的なリスクを事前に把握・分析することが不可欠です。
103-4,4,建物の機能を維持・更新し、適正な状態にし、長持ちさせるためには、不具合が発生した都度の事後の修繕が欠かせない。,FALSE,事後的な修繕ではなく、損傷や劣化を予測して行う「計画的な修繕」が建物の長寿命化と価値維持には不可欠です。
103-5,1,バリューアッド投資とは、ファンドの主要な期待リターンの源泉が、不動産賃貸から生じるインカムリターンであるものをいう。,FALSE,これは「コア投資」の説明です。バリューアッド投資は、インカムリターンに加え、物件の改修等で価値を高めて売却益（キャピタルリターン）を狙う投資手法です。
103-5,2,機関投資家には、年金基金、一般機関投資家（例：銀行、生命保険会社・損害保険会社など）、海外の個人投資家が含まれる。,FALSE,機関投資家とは、多数の個人などから資金を集めて運用する法人投資家のことで、年金基金や金融機関などを指します。個人投資家は含まれません。
103-5,3,投資対象としての不動産も拡大しており、近年では不動産証券化を用いた老朽化不動産の更新・活用が非常に活発に行われている。,FALSE,老朽化不動産の更新・活用における不動産証券化の利用は、まだ活発とは言えず、今後の活用が期待される分野です。
103-5,4,わが国の不動産投資ビジネスが、今後もますます安定的に成長・発展していくためには、各プレーヤー相互の信頼関係と専門家としての自覚が必要である。,TRUE,はい、市場の健全な発展のためには、アセットマネジャーやプロパティマネジャーといった専門家が高い倫理観と専門性を持つことが求められます。
103-6,1,アセットマネジャーの主な業務は、入口戦略（物件取得）、期中戦略（リーシングや修繕）、出口戦略（物件売却）の3つの戦略を立案し実行することである。,TRUE,その通りです。これら3つの戦略を適切に立案・実行し、投資家のリターンを最大化することがアセットマネジャーの役割です。
